id;descricao;descricao_curta;data_de_fim;data_de_criacao;status
1;Savings architectures Madeira;frictionless PNG Marginal;2021-07-27T03:41:37;2021-07-27T07:32:20;AFAZER
2;Integration;6th;2021-07-27T06:08:46;2021-07-27T02:18:26;AFAZER
3;haptic;Team-oriented Impressionante connect;2021-07-27T12:00:41;2021-07-26T21:07:40;FEITA
4;haptic Gostoso;microchip;2021-07-27T05:20:59;2021-07-27T16:18:44;FEITA
5;support parse Paradigm;Peso up;2021-07-27T06:42:56;2021-07-27T15:18:05;AFAZER
6;monitor Checking Response;deposit à;2021-07-27T07:03:10;2021-07-27T00:48:01;AFAZER
7;dot-com;Dobra Mandatory;2021-07-27T15:00:01;2021-07-27T05:51:16;ARQUIVADA
8;online;laranja portals approach;2021-07-26T18:12:58;2021-07-27T09:49:45;FAZENDO
9;e-tailers e feed;AI Assistant Gerais;2021-07-27T04:28:00;2021-07-27T12:58:29;ARQUIVADA
10;methodologies Incrível;salmão holistic Borders;2021-07-26T20:11:31;2021-07-27T04:24:07;ARQUIVADA
